AUDIT_KEY,SOURCE_OBJECT_KEY,BATCH_ID,ETL_RUN_DATE,LAYER_NAME,PIPELINE_RUNID,PIPELINE_TRIGGER_NAME,TRIGGERED_BY_PIPELINE,SOURCE_TABLE,TARGET_TABLE,PIPELINE_NAME,LOAD_FROM_DATETIME,LOAD_TO_DATETIME,PIPELINE_START_TIME,PIPELINE_END_TIME,TASK_DURATION_SECONDS,TARGET_ROW_COUNT,ROWS_EXTRACTED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,TOTAL_ROW_COUNT,FILE_SIZE_KB,LOAD_STATUS,ERROR_MESSAGE,PARTITION_KEY_VALUE,delta_max_value
4104,1100017,20241016154021,2024-10-17,CURATED,e7f36ee1-b9e4-4ed6-89aa-b1ef2400e8cd,Sandbox,pl_edp_static_source_curated_history_parent,dimchannel,dimchannel,pl_edp_static_source_curated_history_parent,1990-01-01T00:00:00.000Z,2024-10-16T15:41:34.000Z,2024-10-17T19:31:16.000Z,2024-10-17T19:32:36.000Z,80,44,44,44,0,0,null,null,SUCCESS,null,null,null
4110,1100035,20241017223534,2024-10-17,RAW,4e36dc3d-b9ba-4402-ab31-ef1c33e1568d,Sandbox,null,iwpridpf,iwpridpf,pl_edp_static_source_raw_data_load,1990-01-01T00:00:00.000Z,2024-10-17T22:35:50.000Z,2024-10-17T22:35:34.000Z,2024-10-17T22:49:00.000Z,806,8704072,8704072,8704072,null,null,null,215522,SUCCESS,,null,null
4111,1002089,20241017183040,2024-10-18,CURATED,6baf795c-f6e5-4781-8318-173c4ce203a8,Sandbox,pl_edp_finacle_curated_history_parent,DEMOGRAPHIC,DEMOGRAPHIC,pl_edp_finacle_curated_history_parent,2023-01-01T00:00:00.000Z,2024-10-16T23:59:59.000Z,2024-10-18T09:39:00.000Z,2024-10-18T09:49:31.000Z,631,19515089,19515089,19515089,0,0,null,null,SUCCESS,null,null,null
4117,1100053,20241018104712,2024-10-18,RAW,fcc35b37-3b46-4fa2-89f4-4d627bcf4ca5,Sandbox,null,dimoptinusers_wa,dimoptinusers_wa,pl_edp_static_source_raw_data_load,1990-01-01T00:00:00.000Z,2024-10-18T10:47:17.000Z,2024-10-18T10:47:12.000Z,2024-10-18T11:03:06.000Z,954,9836402,9836402,9836402,null,null,null,863676,SUCCESS,,null,null
4125,1100044,20241018120324,2024-10-18,RAW,525808c2-d602-4e05-b8a6-57b548b7d455,Sandbox,null,lien_account,lien_account,pl_edp_static_source_raw_data_load,1990-01-01T00:00:00.000Z,2024-10-18T12:03:31.000Z,2024-10-18T12:03:24.000Z,2024-10-18T12:17:34.000Z,850,23999553,23999553,23999553,null,null,null,879668,SUCCESS,,null,null
4144,1004058,20241018134231,2024-10-18,RAW,f5b79f27-2cc5-4d94-b612-0933da7735c7,Sandbox,null,GENERATEDTRANSACTION_DETAILS,GENERATEDTRANSACTION_DETAILS,pl_edp_visionplus_db_raw_weekly_load,1990-01-01T00:00:00.000Z,2024-10-18T13:42:40.000Z,2024-10-18T13:42:31.000Z,2024-10-18T18:49:54.000Z,18443,74788300,74788300,null,null,null,null,4450237,SUCCESS,null,null,null
4168,1079015,20241017181403,2024-10-18,CURATED,f80cf6e0-1d7a-4f0d-945e-3ae5bce06414,Sandbox,pl_edp_forex_curated_daily_child,MFX_LMT_PURPOSE_MAP,MFX_LMT_PURPOSE_MAP,pl_edp_forex_curated_data_load_daily_parent,1990-01-01T05:30:00.000Z,2024-10-17T18:14:14.000Z,2024-10-18T17:19:06.000Z,2024-10-18T17:22:14.000Z,188,51,51,51,0,0,null,null,SUCCESS,null,null,null
4235,1004055,20241017123556,2024-10-18,CURATED,ea591013-fcd8-47ef-8683-98b7105368f9,Sandbox,pl_edp_visionplus_db_curated_weekly_child,POSTMONETARYTRANSACTION_DETAILS,POSTMONETARYTRANSACTION_DETAILS,pl_edp_visionplus_db_curated_data_load_weekly_pare,1990-01-01T00:00:00.000Z,2024-10-17T12:36:02.000Z,2024-10-18T19:54:12.000Z,2024-10-18T20:29:01.000Z,2089,83769575,83769575,83769575,0,0,null,null,SUCCESS,null,null,null
4253,3001023,20241018212422,2024-10-18,MART,964c0620-3c2c-476d-b96c-b18c5195245e,Sandbox,null,AC_DATA_FINAL,AC_DATA_FINAL,pl_edp_hourly_mart_load_parent,2024-10-18T16:00:32.000Z,2024-10-18T21:24:26.000Z,2024-10-18T21:24:22.000Z,2024-10-18T21:26:14.000Z,111,0,0,0,0,0,0,null,SUCCESS,null,null,null
4256,3001003,20241018212833,2024-10-18,MART,08edfedb-40c3-4090-a3c3-1ff182eba8b1,Sandbox,null,AC_EXCLUSION,AC_EXCLUSION,pl_edp_hourly_mart_load_parent,2024-10-09T13:17:15.000Z,2024-10-18T21:28:39.000Z,2024-10-18T21:28:33.000Z,2024-10-18T21:30:16.000Z,103,0,0,0,0,0,0,null,SUCCESS,null,null,null
